displayName,imagePath,maskOptions,framePickerOptions
Artifact,invention/inventionAFull.png,Full-0-0-744-1039;Title Invention-0-0-744-1039;Type Invention-0-0-744-1039;Rules Text Invention-0-0-744-1039;Frame Invention-0-0-744-1039;Pinline Invention-0-0-744-1039,Invention
Artifact PT,invention/inventionAPT.png,Full-575-924-129-71,Invention
Border,masks/BorderInvention.png,Full-0-0-744-1039;Border Invention-0-0-744-1039,Invention
White,invention/inventionWFull.png,Full-0-0-744-1039;Title Invention-0-0-744-1039;Type Invention-0-0-744-1039;Rules Text Invention-0-0-744-1039;Frame Invention-0-0-744-1039;Pinline Invention-0-0-744-1039,Invention
Blue,invention/inventionUFull.png,Full-0-0-744-1039;Title Invention-0-0-744-1039;Type Invention-0-0-744-1039;Rules Text Invention-0-0-744-1039;Frame Invention-0-0-744-1039;Pinline Invention-0-0-744-1039,Invention
Black,invention/inventionBFull.png,Full-0-0-744-1039;Title Invention-0-0-744-1039;Type Invention-0-0-744-1039;Rules Text Invention-0-0-744-1039;Frame Invention-0-0-744-1039;Pinline Invention-0-0-744-1039,Invention
Red,invention/inventionRFull.png,Full-0-0-744-1039;Title Invention-0-0-744-1039;Type Invention-0-0-744-1039;Rules Text Invention-0-0-744-1039;Frame Invention-0-0-744-1039;Pinline Invention-0-0-744-1039,Invention
Green,invention/inventionGFull.png,Full-0-0-744-1039;Title Invention-0-0-744-1039;Type Invention-0-0-744-1039;Rules Text Invention-0-0-744-1039;Frame Invention-0-0-744-1039;Pinline Invention-0-0-744-1039,Invention
White PT,invention/inventionWPT.png,Full-575-924-129-71,Invention
Blue PT,invention/inventionUPT.png,Full-575-924-129-71,Invention
Black PT,invention/inventionBPT.png,Full-575-924-129-71,Invention
Red PT,invention/inventionRPT.png,Full-575-924-129-71,Invention
Green PT,invention/inventionGPT.png,Full-575-924-129-71,Invention
