version,color,type,displayName,maskVersion,x,y,width,height,secondary,advanced
m15,W,Full,White,m15,0,0,1,1,TRUE,FALSE
m15,U,Full,Blue,m15,0,0,1,1,TRUE,FALSE
m15,B,Full,Black,m15,0,0,1,1,TRUE,FALSE
m15,R,Full,Red,m15,0,0,1,1,TRUE,FALSE
m15,G,Full,Green,m15,0,0,1,1,TRUE,FALSE
m15,M,Full,Multicolored,m15,0,0,1,1,TRUE,FALSE
m15,A,Full,Artifact,m15,0,0,1,1,TRUE,FALSE
m15,C,Full,Colorless,m15,0,0,1,1,TRUE,FALSE
m15,Mask,Frame,,m15,0,0,1,1,TRUE,FALSE
m15,Mask,Pinline,,m15,0,0,1,1,TRUE,FALSE
m15,Mask,Title,,m15,0,0,1,1,TRUE,FALSE
m15,Mask,Type,,m15,0,0,1,1,TRUE,FALSE
m15,Mask,Rules,,m15,0,0,1,1,TRUE,FALSE
none,Mask,Secondary,,none,0,0,1,1,TRUE,FALSE
m15,W,PT,White,m15,0.7613,0.8898,0.183,0.0734,FALSE,FALSE
m15,U,PT,Blue,m15,0.7613,0.8898,0.183,0.0734,FALSE,FALSE
m15,B,PT,Black,m15,0.7613,0.8898,0.183,0.0734,FALSE,FALSE
m15,R,PT,Red,m15,0.7613,0.8898,0.183,0.0734,FALSE,FALSE
m15,G,PT,Green,m15,0.7613,0.8898,0.183,0.0734,FALSE,FALSE
m15,M,PT,Multicolored,m15,0.7613,0.8898,0.183,0.0734,FALSE,FALSE
m15,A,PT,Artifact,m15,0.7613,0.8898,0.183,0.0734,FALSE,FALSE
m15,C,PT,Colorless,m15,0.7613,0.8898,0.183,0.0734,FALSE,FALSE
none,Mask,Corners,,none,0.0267,0.0191,0.952,0.1771,FALSE,FALSE
m15,W,Legendary,White,m15,0.0267,0.0191,0.952,0.1771,TRUE,FALSE
m15,U,Legendary,Blue,m15,0.0267,0.0191,0.952,0.1771,TRUE,FALSE
m15,B,Legendary,Black,m15,0.0267,0.0191,0.952,0.1771,TRUE,FALSE
m15,R,Legendary,Red,m15,0.0267,0.0191,0.952,0.1771,TRUE,FALSE
m15,G,Legendary,Green,m15,0.0267,0.0191,0.952,0.1771,TRUE,FALSE
m15,M,Legendary,Multicolored,m15,0.0267,0.0191,0.952,0.1771,TRUE,FALSE
m15,A,Legendary,Artifact,m15,0.0267,0.0191,0.952,0.1771,TRUE,FALSE
m15,C,Legendary,Colorless,m15,0.0267,0.0191,0.952,0.1771,TRUE,FALSE
none,Mask,Stamp,,none,0.4387,0.9039,0.12,0.0477,FALSE,FALSE
m15,W,RareStamp,White,m15,0.4387,0.9039,0.12,0.0477,TRUE,FALSE
m15,U,RareStamp,Blue,m15,0.4387,0.9039,0.12,0.0477,TRUE,FALSE
m15,B,RareStamp,Black,m15,0.4387,0.9039,0.12,0.0477,TRUE,FALSE
m15,R,RareStamp,Red,m15,0.4387,0.9039,0.12,0.0477,TRUE,FALSE
m15,G,RareStamp,Green,m15,0.4387,0.9039,0.12,0.0477,TRUE,FALSE
m15,M,RareStamp,Multicolored,m15,0.4387,0.9039,0.12,0.0477,TRUE,FALSE
m15,A,RareStamp,Artifact,m15,0.4387,0.9039,0.12,0.0477,TRUE,FALSE
m15,C,RareStamp,Colorless,m15,0.4387,0.9039,0.12,0.0477,TRUE,FALSE
m15,V,PT,Vehicle,m15,0.7613,0.8898,0.183,0.0734,FALSE,FALSE
m15,V,Full,Vehicle,m15,0,0,1,1,TRUE,FALSE
m15,WL,Full,White Land,m15,0,0,1,1,TRUE,FALSE
m15,UL,Full,Blue Land,m15,0,0,1,1,TRUE,FALSE
m15,BL,Full,Black Land,m15,0,0,1,1,TRUE,FALSE
m15,RL,Full,Red Land,m15,0,0,1,1,TRUE,FALSE
m15,GL,Full,Green Land,m15,0,0,1,1,TRUE,FALSE
m15,ML,Full,Multicolored Land,m15,0,0,1,1,TRUE,FALSE
m15,CL,Full,Colorless Land,m15,0,0,1,1,TRUE,FALSE
m15,W,Miracle,White,m15,0.04,0.0286,0.9187,0.4867,TRUE,TRUE
m15,U,Miracle,Blue,m15,0.04,0.0286,0.9187,0.4867,TRUE,TRUE
m15,B,Miracle,Black,m15,0.04,0.0286,0.9187,0.4867,TRUE,TRUE
m15,R,Miracle,Red,m15,0.04,0.0286,0.9187,0.4867,TRUE,TRUE
m15,G,Miracle,Green,m15,0.04,0.0286,0.9187,0.4867,TRUE,TRUE
m15,M,Miracle,Multicolored,m15,0.04,0.0286,0.9187,0.4867,TRUE,TRUE
m15,C,Miracle,Colorless,m15,0.04,0.0286,0.9187,0.4867,TRUE,TRUE
m15,A,Miracle,Artifact,m15,0.04,0.0286,0.9187,0.4867,TRUE,TRUE
m15,W,Nyx,White,m15,0.04,0.0286,0.92,0.5581,TRUE,TRUE
m15,U,Nyx,Blue,m15,0.04,0.0286,0.92,0.5581,TRUE,TRUE
m15,B,Nyx,Black,m15,0.04,0.0286,0.92,0.5581,TRUE,TRUE
m15,R,Nyx,Red,m15,0.04,0.0286,0.92,0.5581,TRUE,TRUE
m15,G,Nyx,Green,m15,0.04,0.0286,0.92,0.5581,TRUE,TRUE
m15,M,Nyx,Multicolored,m15,0.04,0.0286,0.92,0.5581,TRUE,TRUE
m15,A,Nyx,Artifact,m15,0.04,0.0286,0.92,0.5581,TRUE,TRUE
m15,C,Nyx,Colorless,m15,0.04,0.0286,0.92,0.5581,TRUE,TRUE
m15,WL,Nyx,White Land,m15,0.04,0.0286,0.92,0.5581,TRUE,TRUE
m15,UL,Nyx,Blue Land,m15,0.04,0.0286,0.92,0.5581,TRUE,TRUE
m15,BL,Nyx,Black Land,m15,0.04,0.0286,0.92,0.5581,TRUE,TRUE
m15,RL,Nyx,Red Land,m15,0.04,0.0286,0.92,0.5581,TRUE,TRUE
m15,GL,Nyx,Green Land,m15,0.04,0.0286,0.92,0.5581,TRUE,TRUE
m15,ML,Nyx,Multicolored Land,m15,0.04,0.0286,0.92,0.5581,TRUE,TRUE
m15,CL,Nyx,Colorless Land,m15,0.04,0.0286,0.92,0.5581,TRUE,TRUE
m15,WD,Full,White (Dark),m15,0,0,1,1,TRUE,TRUE
m15,UD,Full,Blue (Dark),m15,0,0,1,1,TRUE,TRUE
m15,BD,Full,Black (Dark),m15,0,0,1,1,TRUE,TRUE
m15,RD,Full,Red (Dark),m15,0,0,1,1,TRUE,TRUE
m15,GD,Full,Green (Dark),m15,0,0,1,1,TRUE,TRUE
m15,MD,Full,Multicolored (Dark),m15,0,0,1,1,TRUE,TRUE
m15,AD,Full,Artifact (Dark),m15,0,0,1,1,TRUE,TRUE
m15,CD,Full,Colorless (Dark),m15,0,0,1,1,TRUE,TRUE
m15,WLD,Full,White Land (Dark),m15,0,0,1,1,TRUE,TRUE
m15,ULD,Full,Blue Land (Dark),m15,0,0,1,1,TRUE,TRUE
m15,BLD,Full,Black Land (Dark),m15,0,0,1,1,TRUE,TRUE
m15,RLD,Full,Red Land (Dark),m15,0,0,1,1,TRUE,TRUE
m15,GLD,Full,Green Land (Dark),m15,0,0,1,1,TRUE,TRUE
m15,MLD,Full,Multicolored Land (Dark),m15,0,0,1,1,TRUE,TRUE
m15,CLD,Full,Colorless Land (Dark),m15,0,0,1,1,TRUE,TRUE
m15,WD,PT,White (Dark),m15,0.7613,0.8898,0.183,0.0734,FALSE,TRUE
m15,UD,PT,Blue (Dark),m15,0.7613,0.8898,0.183,0.0734,FALSE,TRUE
m15,BD,PT,Black (Dark),m15,0.7613,0.8898,0.183,0.0734,FALSE,TRUE
m15,RD,PT,Red (Dark),m15,0.7613,0.8898,0.183,0.0734,FALSE,TRUE
m15,GD,PT,Green (Dark),m15,0.7613,0.8898,0.183,0.0734,FALSE,TRUE
m15,MD,PT,Multicolored (Dark),m15,0.7613,0.8898,0.183,0.0734,FALSE,TRUE
m15,AD,PT,Artifact (Dark),m15,0.7613,0.8898,0.183,0.0734,FALSE,TRUE
m15,CD,PT,Colorless (Dark),m15,0.7613,0.8898,0.183,0.0734,FALSE,TRUE
m15,W,FlipPT,White,m15,0.914,0.8352,0.048,0.0457,FALSE,TRUE
m15,U,FlipPT,Blue,m15,0.914,0.8352,0.048,0.0457,FALSE,TRUE
m15,B,FlipPT,Black,m15,0.914,0.8352,0.048,0.0457,FALSE,TRUE
m15,R,FlipPT,Red,m15,0.914,0.8352,0.048,0.0457,FALSE,TRUE
m15,G,FlipPT,Green,m15,0.914,0.8352,0.048,0.0457,FALSE,TRUE
m15,M,FlipPT,Multicolored,m15,0.914,0.8352,0.048,0.0457,FALSE,TRUE
m15,A,FlipPT,Artifact,m15,0.914,0.8352,0.048,0.0457,FALSE,TRUE
m15,C,FlipPT,Colorless,m15,0.914,0.8352,0.048,0.0457,FALSE,TRUE
m15,WL,FlipPT,White Land,m15,0.914,0.8352,0.048,0.0457,FALSE,TRUE
m15,UL,FlipPT,Blue Land,m15,0.914,0.8352,0.048,0.0457,FALSE,TRUE
m15,BL,FlipPT,Black Land,m15,0.914,0.8352,0.048,0.0457,FALSE,TRUE
m15,RL,FlipPT,Red Land,m15,0.914,0.8352,0.048,0.0457,FALSE,TRUE
m15,GL,FlipPT,Green Land,m15,0.914,0.8352,0.048,0.0457,FALSE,TRUE
m15,ML,FlipPT,Multicolorled Land,m15,0.914,0.8352,0.048,0.0457,FALSE,TRUE
m15,CL,FlipPT,Colorless Land,m15,0.914,0.8352,0.048,0.0457,FALSE,TRUE
m15,W,FlipCircle,White,m15,0.0347,0.044,0.104,0.0676,FALSE,TRUE
m15,U,FlipCircle,Blue,m15,0.0347,0.044,0.104,0.0676,FALSE,TRUE
m15,B,FlipCircle,Black,m15,0.0347,0.044,0.104,0.0676,FALSE,TRUE
m15,R,FlipCircle,Red,m15,0.0347,0.044,0.104,0.0676,FALSE,TRUE
m15,G,FlipCircle,Green,m15,0.0347,0.044,0.104,0.0676,FALSE,TRUE
m15,M,FlipCircle,Multicolored,m15,0.0347,0.044,0.104,0.0676,FALSE,TRUE
m15,A,FlipCircle,Artifact,m15,0.0347,0.044,0.104,0.0676,FALSE,TRUE
m15,C,FlipCircle,Colorless,m15,0.0347,0.044,0.104,0.0676,FALSE,TRUE
m15,Artifact,FlipIcon,Artifact,m15,0.052,0.0486,0.08,0.0571,FALSE,TRUE
m15,Blank,FlipIcon,Blank,m15,0.052,0.0486,0.08,0.0571,FALSE,TRUE
m15,Compass,FlipIcon,Compass,m15,0.052,0.0486,0.08,0.0571,FALSE,TRUE
m15,Creature,FlipIcon,Creature,m15,0.052,0.0486,0.08,0.0571,FALSE,TRUE
m15,Day,FlipIcon,Day,m15,0.052,0.0486,0.08,0.0571,FALSE,TRUE
m15,Eldrazi,FlipIcon,Eldrazi,m15,0.052,0.0486,0.08,0.0571,FALSE,TRUE
m15,Enchantment,FlipIcon,Enchantment,m15,0.052,0.0486,0.08,0.0571,FALSE,TRUE
m15,Instant,FlipIcon,Instant,m15,0.052,0.0486,0.08,0.0571,FALSE,TRUE
m15,Land,FlipIcon,Land,m15,0.052,0.0486,0.08,0.0571,FALSE,TRUE
m15,Moon,FlipIcon,Moon,m15,0.052,0.0486,0.08,0.0571,FALSE,TRUE
m15,Multitype,FlipIcon,Multitype,m15,0.052,0.0486,0.08,0.0571,FALSE,TRUE
m15,Night,FlipIcon,Night,m15,0.052,0.0486,0.08,0.0571,FALSE,TRUE
m15,Planeshift,FlipIcon,Planeshift,m15,0.052,0.0486,0.08,0.0571,FALSE,TRUE
m15,Planeswalker,FlipIcon,Planeswalker,m15,0.052,0.0486,0.08,0.0571,FALSE,TRUE
m15,Sorcery,FlipIcon,Sorcery,m15,0.052,0.0486,0.08,0.0571,FALSE,TRUE
